iter	Passed	Remaining
401	13616	20255
402	13658	20233
403	13699	20209
404	13742	20189
405	13783	20165
406	13823	20141
407	13868	20122
408	13922	20117
409	13970	20104
410	14015	20085
411	14055	20059
412	14097	20036
413	14131	20002
414	14163	19965
415	14204	19941
416	14239	19908
417	14269	19868
418	14302	19832
419	14336	19798
420	14396	19799
421	14444	19784
422	14482	19755
423	14514	19717
424	14547	19681
425	14576	19640
426	14610	19605
427	14662	19595
428	14710	19579
429	14741	19541
430	14771	19501
431	14807	19468
432	14841	19434
433	14874	19398
434	14908	19363
435	14947	19336
436	14985	19305
437	15028	19282
438	15081	19272
439	15140	19269
440	15178	19239
441	15223	19218
442	15262	19190
443	15337	19206
444	15376	19177
445	15410	19142
446	15447	19110
447	15481	19075
448	15515	19040
449	15545	18999
450	15577	18962
451	15614	18930
452	15649	18896
453	15680	18858
454	15714	18822
455	15761	18803
456	15818	18794
457	15865	18775
458	15915	18758
459	15970	18748
460	16018	18728
461	16069	18713
462	16153	18734
463	16198	18712
464	16251	18697
465	16288	18665
466	16331	18640
467	16370	18608
468	16410	18580
469	16446	18546
470	16478	18508
471	16511	18470
472	16552	18442
473	16594	18414
474	16627	18377
475	16659	18339
476	16688	18297
477	16719	18258
478	16757	18227
479	16793	18193
480	16838	18168
481	16879	18139
482	16926	18117
483	16967	18088
484	17018	18070
485	17050	18033
486	17082	17994
487	17114	17955
488	17149	17920
489	17193	17895
490	17244	17876
491	17280	17842
492	17308	17799
493	17343	17764
494	17379	17730
495	17411	17692
496	17441	17651
497	17471	17612
498	17501	17571
499	17531	17531
500	17564	17494
501	17593	17452
502	17627	17417
503	17662	17382
504	17693	17343
505	17722	17302
506	17751	17260
507	17783	17223
508	17819	17189
509	17852	17152
510	17884	17114
511	17915	17076
512	17947	17037
513	17987	17007
514	18025	16975
515	18062	16942
516	18090	16900
517	18122	16862
518	18152	16823
519	18182	16784
520	18216	16748
521	18245	16708
522	18283	16675
523	18314	16637
524	18343	16596
525	18375	16558
526	18404	16519
527	18433	16478
528	18463	16438
529	18489	16396
530	18531	16367
531	18568	16334
532	18597	16294
533	18628	16256
534	18660	16218
535	18687	16176
536	18718	16139
537	18754	16105
538	18794	16074
539	18827	16038
540	18856	15998
541	18888	15961
542	18917	15921
543	18950	15885
544	18982	15847
545	19019	15814
546	19054	15779
547	19093	15748
548	19134	15718
549	19167	15682
550	19206	15650
551	19242	15617
552	19280	15584
553	19324	15556
554	19357	15521
555	19384	15480
556	19414	15440
557	19450	15406
558	19482	15370
559	19511	15330
560	19542	15292
561	19571	15253
562	19599	15212
563	19628	15173
564	19662	15138
565	19696	15102
566	19725	15064
567	19755	15025
568	19786	14987
569	19814	14947
570	19846	14910
571	19880	14875
572	19910	14837
573	19938	14797
